:Data_list: 20030303_G8xr_1m.txt
:Created: 2003 Mar 04 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-8
# Location: W075
# Missing data: -1.00e+05
#
#         1-minute GOES-8 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2003 03 03  0000   52701      0     2.02e-09    5.69e-07
2003 03 03  0001   52701     60     2.27e-09    5.66e-07
2003 03 03  0002   52701    120     2.12e-09    5.64e-07
2003 03 03  0003   52701    180     1.69e-09    5.62e-07
2003 03 03  0004   52701    240     1.70e-09    5.59e-07
2003 03 03  0005   52701    300     1.85e-09    5.60e-07
2003 03 03  0006   52701    360     2.41e-09    5.66e-07
2003 03 03  0007   52701    420     3.23e-09    5.88e-07
2003 03 03  0008   52701    480     4.26e-09    6.19e-07
2003 03 03  0009   52701    540     3.81e-09    6.17e-07
2003 03 03  0010   52701    600     3.15e-09    6.08e-07
2003 03 03  0011   52701    660     3.03e-09    5.93e-07
2003 03 03  0012   52701    720     2.00e-09    5.79e-07
2003 03 03  0013   52701    780     1.77e-09    5.65e-07
2003 03 03  0014   52701    840     1.50e-09    5.52e-07
2003 03 03  0015   52701    900     1.30e-09    5.44e-07
2003 03 03  0016   52701    960     1.27e-09    5.36e-07
2003 03 03  0017   52701   1020     1.37e-09    5.29e-07
2003 03 03  0018   52701   1080     1.31e-09    5.26e-07
2003 03 03  0019   52701   1140     1.30e-09    5.25e-07
2003 03 03  0020   52701   1200     1.21e-09    5.24e-07
2003 03 03  0021   52701   1260     1.25e-09    5.24e-07
2003 03 03  0022   52701   1320     1.30e-09    5.26e-07
2003 03 03  0023   52701   1380     1.30e-09    5.27e-07
2003 03 03  0024   52701   1440     1.23e-09    5.24e-07
2003 03 03  0025   52701   1500     1.17e-09    5.22e-07
2003 03 03  0026   52701   1560     1.29e-09    5.24e-07
2003 03 03  0027   52701   1620     1.29e-09    5.26e-07
2003 03 03  0028   52701   1680     1.34e-09    5.26e-07
2003 03 03  0029   52701   1740     1.19e-09    5.27e-07
2003 03 03  0030   52701   1800     1.24e-09    5.28e-07
2003 03 03  0031   52701   1860     1.33e-09    5.24e-07
2003 03 03  0032   52701   1920     1.32e-09    5.11e-07
2003 03 03  0033   52701   1980     1.26e-09    5.22e-07
2003 03 03  0034   52701   2040     1.31e-09    5.33e-07
2003 03 03  0035   52701   2100     1.36e-09    5.37e-07
2003 03 03  0036   52701   2160     1.37e-09    5.48e-07
2003 03 03  0037   52701   2220     1.62e-09    5.57e-07
2003 03 03  0038   52701   2280     1.74e-09    5.59e-07
2003 03 03  0039   52701   2340     1.61e-09    5.58e-07
2003 03 03  0040   52701   2400     1.43e-09    5.53e-07
2003 03 03  0041   52701   2460     1.70e-09    5.53e-07
2003 03 03  0042   52701   2520     1.43e-09    5.50e-07
2003 03 03  0043   52701   2580     1.52e-09    5.55e-07
2003 03 03  0044   52701   2640     1.77e-09    5.59e-07
2003 03 03  0045   52701   2700     1.59e-09    5.61e-07
2003 03 03  0046   52701   2760     1.56e-09    5.63e-07
2003 03 03  0047   52701   2820     1.99e-09    5.68e-07
2003 03 03  0048   52701   2880     2.25e-09    5.71e-07
2003 03 03  0049   52701   2940     1.93e-09    5.70e-07
2003 03 03  0050   52701   3000     1.89e-09    5.67e-07
2003 03 03  0051   52701   3060     1.63e-09    5.62e-07
2003 03 03  0052   52701   3120     1.58e-09    5.58e-07
2003 03 03  0053   52701   3180     1.35e-09    5.53e-07
2003 03 03  0054   52701   3240     1.41e-09    5.49e-07
2003 03 03  0055   52701   3300     1.53e-09    5.48e-07
2003 03 03  0056   52701   3360     1.42e-09    5.47e-07
2003 03 03  0057   52701   3420     1.33e-09    5.43e-07
2003 03 03  0058   52701   3480     1.27e-09    5.39e-07
2003 03 03  0059   52701   3540     1.32e-09    5.36e-07
2003 03 03  0100   52701   3600     1.28e-09    5.35e-07
2003 03 03  0101   52701   3660     1.22e-09    5.32e-07
2003 03 03  0102   52701   3720     1.22e-09    5.32e-07
2003 03 03  0103   52701   3780     1.31e-09    5.34e-07
2003 03 03  0104   52701   3840     1.22e-09    5.31e-07
2003 03 03  0105   52701   3900     1.08e-09    5.26e-07
2003 03 03  0106   52701   3960     1.05e-09    5.17e-07
2003 03 03  0107   52701   4020     1.08e-09    5.09e-07
2003 03 03  0108   52701   4080     1.06e-09    5.03e-07
2003 03 03  0109   52701   4140     1.43e-09    5.14e-07
2003 03 03  0110   52701   4200     2.17e-09    5.38e-07
2003 03 03  0111   52701   4260     1.30e-09    5.21e-07
2003 03 03  0112   52701   4320     1.07e-09    5.06e-07
2003 03 03  0113   52701   4380     1.06e-09    4.96e-07
2003 03 03  0114   52701   4440     1.05e-09    4.92e-07
2003 03 03  0115   52701   4500     1.54e-09    5.04e-07
