:Data_list: 20070311_G12xr_1m.txt
:Created: 2007 Mar 12 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-12
# Location: W075
# Missing data: -1.00e+05
#
#         1-minute GOES-12 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2007 03 11  0000   54170      0     1.91e-09    8.21e-09
2007 03 11  0001   54170     60     1.91e-09    8.08e-09
2007 03 11  0002   54170    120     1.91e-09    8.08e-09
2007 03 11  0003   54170    180     1.91e-09    8.09e-09
2007 03 11  0004   54170    240     1.91e-09    8.09e-09
2007 03 11  0005   54170    300     1.91e-09    8.04e-09
2007 03 11  0006   54170    360     1.91e-09    7.01e-09
2007 03 11  0007   54170    420     1.91e-09    4.85e-09
2007 03 11  0008   54170    480     1.91e-09    4.13e-09
2007 03 11  0009   54170    540     1.91e-09    3.99e-09
2007 03 11  0010   54170    600     1.94e-09    3.73e-09
2007 03 11  0011   54170    660     1.91e-09    3.73e-09
2007 03 11  0012   54170    720     1.91e-09    3.73e-09
2007 03 11  0013   54170    780     1.91e-09    3.73e-09
2007 03 11  0014   54170    840     1.91e-09    3.80e-09
2007 03 11  0015   54170    900     1.91e-09    3.73e-09
2007 03 11  0016   54170    960     1.91e-09    3.73e-09
2007 03 11  0017   54170   1020     1.91e-09    3.73e-09
2007 03 11  0018   54170   1080     1.91e-09    3.73e-09
2007 03 11  0019   54170   1140     1.91e-09    3.73e-09
2007 03 11  0020   54170   1200     1.91e-09    3.73e-09
2007 03 11  0021   54170   1260     1.91e-09    3.80e-09
2007 03 11  0022   54170   1320     1.91e-09    3.73e-09
2007 03 11  0023   54170   1380     1.93e-09    3.73e-09
2007 03 11  0024   54170   1440     1.91e-09    3.73e-09
2007 03 11  0025   54170   1500     1.92e-09    3.80e-09
2007 03 11  0026   54170   1560     1.91e-09    3.73e-09
2007 03 11  0027   54170   1620     1.99e-09    4.25e-09
2007 03 11  0028   54170   1680     1.90e-09    3.95e-09
2007 03 11  0029   54170   1740     1.90e-09    4.02e-09
2007 03 11  0030   54170   1800     1.90e-09    4.10e-09
2007 03 11  0031   54170   1860     1.91e-09    3.80e-09
2007 03 11  0032   54170   1920     1.91e-09    3.73e-09
2007 03 11  0033   54170   1980     1.91e-09    3.73e-09
2007 03 11  0034   54170   2040     1.91e-09    4.24e-09
2007 03 11  0035   54170   2100     1.91e-09    8.09e-09
2007 03 11  0036   54170   2160     1.91e-09    9.96e-09
2007 03 11  0037   54170   2220     2.65e-09    2.25e-08
2007 03 11  0038   54170   2280     3.88e-09    3.43e-08
2007 03 11  0039   54170   2340     3.46e-09    3.63e-08
2007 03 11  0040   54170   2400     2.41e-09    3.15e-08
2007 03 11  0041   54170   2460     1.91e-09    2.92e-08
2007 03 11  0042   54170   2520     2.01e-09    2.93e-08
2007 03 11  0043   54170   2580     1.94e-09    2.34e-08
2007 03 11  0044   54170   2640     1.92e-09    1.64e-08
2007 03 11  0045   54170   2700     1.91e-09    1.51e-08
2007 03 11  0046   54170   2760     1.97e-09    9.59e-09
2007 03 11  0047   54170   2820     1.92e-09    8.08e-09
2007 03 11  0048   54170   2880     1.91e-09    8.09e-09
2007 03 11  0049   54170   2940     1.93e-09    8.09e-09
2007 03 11  0050   54170   3000     1.91e-09    6.72e-09
2007 03 11  0051   54170   3060     1.90e-09    4.13e-09
2007 03 11  0052   54170   3120     1.90e-09    3.80e-09
2007 03 11  0053   54170   3180     1.92e-09    3.80e-09
2007 03 11  0054   54170   3240     1.92e-09    3.73e-09
2007 03 11  0055   54170   3300     1.91e-09    3.73e-09
2007 03 11  0056   54170   3360     1.91e-09    3.73e-09
2007 03 11  0057   54170   3420     1.91e-09    3.73e-09
2007 03 11  0058   54170   3480     1.91e-09    3.73e-09
2007 03 11  0059   54170   3540     1.91e-09    3.73e-09
2007 03 11  0100   54170   3600     1.91e-09    3.73e-09
2007 03 11  0101   54170   3660     1.93e-09    3.76e-09
2007 03 11  0102   54170   3720     1.91e-09    3.73e-09
2007 03 11  0103   54170   3780     1.91e-09    3.73e-09
2007 03 11  0104   54170   3840     1.91e-09    3.73e-09
2007 03 11  0105   54170   3900     1.91e-09    3.73e-09
2007 03 11  0106   54170   3960     1.91e-09    3.73e-09
2007 03 11  0107   54170   4020     1.91e-09    3.73e-09
2007 03 11  0108   54170   4080     1.91e-09    3.73e-09
2007 03 11  0109   54170   4140     1.91e-09    3.73e-09
2007 03 11  0110   54170   4200     1.91e-09    3.73e-09
2007 03 11  0111   54170   4260     1.91e-09    3.73e-09
2007 03 11  0112   54170   4320     1.91e-09    3.73e-09
2007 03 11  0113   54170   4380     1.91e-09    3.73e-09
2007 03 11  0114   54170   4440     1.93e-09    3.73e-09
2007 03 11  0115   54170   4500     1.91e-09    3.73e-09
2007 03 11  0116   54170   4560     1.91e-09    3.73e-09
2007 03 11  0117   54170   4620     1.90e-09    3.73e-09
2007 03 11  0118   54170   4680     1.90e-09    3.73e-09
2007 03 11  0119   54170   4740     1.95e-09    3.73e-09
2007 03 11  0120   54170   4800     1.91e-09    3.73e-09
2007 03 11  0121   54170   4860     1.90e-09    3.73e-09
2007 03 11  0122   54170   4920     1.94e-09    3.73e-09
2007 03 11  0123   54170   4980     1.91e-09    3.73e-09
2007 03 11  0124   54170   5040     1.91e-09    5.14e-09
2007 03 11  0125   54170   5100     1.91e-09    8.08e-09
2007 03 11  0126   54170   5160     1.91e-09    5.61e-09
2007 03 11  0127   54170   5220     1.91e-09    3.76e-09
2007 03 11  0128   54170   5280     1.91e-09    3.73e-09
2007 03 11  0129   54170   5340     1.90e-09    3.73e-09
2007 03 11  0130   54170   5400     1.90e-09    3.73e-09
2007 03 11  0131   54170   5460     1.90e-09    3.73e-09
2007 03 11  0132   54170   5520     1.90e-09    3.73e-09
2007 03 11  0133   54170   5580     1.91e-09    3.73e-09
2007 03 11  0134   54170   5640     1.91e-09    3.73e-09
2007 03 11  0135   54170   5700     1.90e-09    3.73e-09
2007 03 11  0136   54170   5760     1.91e-09    3.73e-09
2007 03 11  0137   54170   5820     1.97e-09    3.73e-09
2007 03 11  0138   54170   5880     1.90e-09    3.73e-09
2007 03 11  0139   54170   5940     1.90e-09    3.73e-09
2007 03 11  0140   54170   6000     1.90e-09    3.73e-09
2007 03 11  0141   54170   6060     1.90e-09    3.73e-09
2007 03 11  0142   54170   6120     1.90e-09    3.73e-09
2007 03 11  0143   54170   6180     1.92e-09    3.73e-09
2007 03 11  0144   54170   6240     1.92e-09    3.73e-09
2007 03 11  0145   54170   6300     1.90e-09    3.73e-09
2007 03 11  0146   54170   6360     1.92e-09    3.76e-09
2007 03 11  0147   54170   6420     1.90e-09    3.73e-09
2007 03 11  0148   54170   6480     1.90e-09    3.73e-09
2007 03 11  0149   54170   6540     1.90e-09    3.73e-09
2007 03 11  0150   54170   6600     1.90e-09    3.73e-09
2007 03 11  0151   54170   6660     1.90e-09    3.73e-09
2007 03 11  0152   54170   6720     1.90e-09    3.73e-09
2007 03 11  0153   54170   6780     1.91e-09    3.73e-09
2007 03 11  0154   54170   6840     1.90e-09    3.73e-09
2007 03 11  0155   54170   6900     1.90e-09    3.73e-09
2007 03 11  0156   54170   6960     1.90e-09    3.73e-09
2007 03 11  0157   54170   7020     1.90e-09    3.73e-09
2007 03 11  0158   54170   7080     1.91e-09    3.73e-09
2007 03 11  0159   54170   7140     1.91e-09    3.73e-09
2007 03 11  0200   54170   7200     1.90e-09    3.73e-09
2007 03 11  0201   54170   7260     1.90e-09    3.76e-09
2007 03 11  0202   54170   7320     1.90e-09    3.73e-09
2007 03 11  0203   54170   7380     1.90e-09    3.73e-09
2007 03 11  0204   54170   7440     1.90e-09    5.88e-09
2007 03 11  0205   54170   7500     1.90e-09    3.73e-09
2007 03 11  0206   54170   7560     1.90e-09    3.73e-09
2007 03 11  0207   54170   7620     1.90e-09    3.76e-09
2007 03 11  0208   54170   7680     1.90e-09    6.29e-09
2007 03 11  0209   54170   7740     1.92e-09    4.88e-09
2007 03 11  0210   54170   7800     1.90e-09    7.08e-09
2007 03 11  0211   54170   7860     1.90e-09    5.55e-09
2007 03 11  0212   54170   7920     1.91e-09    3.73e-09
2007 03 11  0213   54170   7980     1.91e-09    3.73e-09
2007 03 11  0214   54170   8040     1.90e-09    3.73e-09
2007 03 11  0215   54170   8100     1.90e-09    3.80e-09
2007 03 11  0216   54170   8160     1.90e-09    3.73e-09
2007 03 11  0217   54170   8220     1.90e-09    3.73e-09
2007 03 11  0218   54170   8280     1.90e-09    3.73e-09
2007 03 11  0219   54170   8340     1.90e-09    3.73e-09
2007 03 11  0220   54170   8400     1.90e-09    3.73e-09
2007 03 11  0221   54170   8460     1.90e-09    3.73e-09
2007 03 11  0222   54170   8520     1.90e-09    3.73e-09
2007 03 11  0223   54170   8580     1.90e-09    3.73e-09
2007 03 11  0224   54170   8640     1.94e-09    3.73e-09
2007 03 11  0225   54170   8700     1.90e-09    3.73e-09
2007 03 11  0226   54170   8760     1.91e-09    3.73e-09
2007 03 11  0227   54170   8820     1.94e-09    3.73e-09
2007 03 11  0228   54170   8880     1.91e-09    3.84e-09
2007 03 11  0229   54170   8940     1.91e-09    6.07e-09
2007 03 11  0230   54170   9000     1.90e-09    8.07e-09
2007 03 11  0231   54170   9060     1.90e-09    8.97e-09
2007 03 11  0232   54170   9120     1.90e-09    8.07e-09
2007 03 11  0233   54170   9180     1.90e-09    8.07e-09
